date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_rank_history,speculation_rank_in_trend,signal,position_scale,is_effective_signal,daily_return,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,214134.19913419912,no_trend,,0,,11,high_speculation,,2.091107917975069,,,0,1.0,0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,11,high_speculation,,1.4143789712621873,,,0,1.0,0,-0.05995142954163735,1.0,0.0,1.0,-0.05995142954163735,-0.05995142954163735,0.9400485704583627,0.9400485704583627,1.0,1.0,-0.05995142954163735,-0.05995142954163735
2023-07-25,216694.29427430092,up_trend,1.0,0,,11,high_speculation,,1.598095534571003,,,0,1.0,0,0.07649284928919564,1.0,0.0,1.0,0.07649284928919564,0.07649284928919564,1.011955564082958,1.011955564082958,1.011955564082958,1.011955564082958,0.0,0.0
2023-07-26,219563.98194099808,up_trend,1.0,0,,11,high_speculation,,2.025216349105437,,,0,1.0,0,0.013243023662933062,1.0,0.0,1.0,0.013243023662933062,0.013243023662933062,1.0253569155639455,1.0253569155639455,1.0253569155639455,1.0253569155639455,0.0,0.0
2023-07-27,217538.3747103608,up_trend,1.0,0,,11,high_speculation,0.0,1.176569968274467,,0.0,0,1.0,0,-0.00922558979269017,1.0,0.0,1.0,-0.00922558979269017,-0.00922558979269017,1.0158973932698545,1.0158973932698545,1.0253569155639455,1.0253569155639455,-0.00922558979269017,-0.00922558979269017
2023-07-28,220461.82341001357,up_trend,1.0,0,,11,high_speculation,0.0,1.137255999052689,,0.0,0,1.0,0,0.013438772370829577,1.0,0.0,1.0,0.013438772370829577,0.013438772370829577,1.0295498070901272,1.0295498070901272,1.0295498070901272,1.0295498070901272,0.0,0.0
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,11,high_speculation,0.0,0.8447978475536825,,0.0,0,1.0,0,0.0010966917087824601,1.0,0.0,1.0,0.0010966917087824601,0.0010966917087824601,1.0306789058273416,1.0306789058273416,1.0306789058273416,1.0306789058273416,0.0,0.0
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,11,high_speculation,0.0,0.3455711668003232,,0.0,0,1.0,0,0.0033078503221499744,1.0,0.0,1.0,0.0033078503221499744,0.0033078503221499744,1.0340882373780158,1.0340882373780158,1.0340882373780158,1.0340882373780158,0.0,0.0
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,11,high_speculation,0.0,0.0777876826569847,,0.0,0,1.0,0,0.002166002039153403,1.0,0.0,1.0,0.002166002039153403,0.002166002039153403,1.0363280746088412,1.0363280746088412,1.0363280746088412,1.0363280746088412,0.0,0.0
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,11,high_speculation,,0.278676766271454,,,0,1.0,0,0.006023215147393124,1.0,0.0,1.0,0.006023215147393124,0.006023215147393124,1.042570101565494,1.042570101565494,1.042570101565494,1.042570101565494,0.0,0.0
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,11,high_speculation,,-0.1709041956432761,0.0,,0,1.0,0,-0.0024280769925070222,1.0,0.0,1.0,-0.0024280769925070222,-0.0024280769925070222,1.040038661088807,1.040038661088807,1.042570101565494,1.042570101565494,-0.0024280769925071333,-0.0024280769925071333
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,11,high_speculation,,0.5882044007797698,0.4,,0,1.0,0,-0.03939997848716792,1.0,0.0,1.0,-0.03939997848716792,-0.03939997848716792,0.9990611602160852,0.9990611602160852,1.042570101565494,1.042570101565494,-0.04173238929840506,-0.04173238929840506
2023-08-08,211639.1597789407,down_trend,2.0,0,,11,high_speculation,0.6666666666666666,0.4416301173252139,0.4,0.6666666666666666,0,1.0,0,-0.010722982985395091,1.0,0.0,1.0,-0.010722982985395091,-0.010722982985395091,0.988348244393719,0.988348244393719,1.042570101565494,1.042570101565494,-0.05200787658341344,-0.05200787658341344
2023-08-09,212657.0317916213,down_trend,2.0,0,,11,high_speculation,0.5,0.2944802454904577,0.3,0.5,0,1.0,0,0.004809469163191693,1.0,0.0,1.0,0.004809469163191693,0.004809469163191693,0.9931016747976252,0.9931016747976252,1.042570101565494,1.042570101565494,-0.04744853769889279,-0.04744853769889279
2023-08-10,206395.3513174404,down_trend,2.0,0,,11,high_speculation,0.6,0.3464598352495612,0.5,0.6,0,1.0,0,-0.02944497259943235,1.0,0.0,1.0,-0.02944497259943235,-0.02944497259943235,0.9638598231947588,0.9638598231947588,1.042570101565494,1.042570101565494,-0.07549638940589798,-0.07549638940589798
2023-08-11,204917.29295378117,down_trend,2.0,0,,11,high_speculation,1.0,0.7545857171442018,0.8,1.0,0,1.0,0,-0.007161296774489512,1.0,0.0,1.0,-0.007161296774489512,-0.007161296774489512,0.9569573369518541,0.9569573369518541,1.042570101565494,1.042570101565494,-0.08211703413044946,-0.08211703413044946
