date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2023-07-21,214134.19913419912,no_trend,,0,,21,speculation_change_rate,,2.091107917975069,,,,0,0,none,0,1.0,0,235420.71047957373,no_trend,0.0,,0.0,0.0,-21286.5113453746,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,21,speculation_change_rate,-0.4917231231509593,1.4143789712621873,-0.6767289467128816,-0.4917231231509593,,0,0,none,0,1.0,0,210553.2268650186,down_trend,-1.0,1.0,0.0,0.0,-9256.679082668357,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2023-07-25,216694.29427430092,up_trend,1.0,0,,21,speculation_change_rate,0.2016751759868773,1.598095534571003,0.1837165633088158,0.2016751759868773,,0,0,none,0,1.0,0,201523.5243597752,up_trend,1.0,2.0,-1.0,-1.0,15170.769914525707,-15170.769914525707,-15170.769914525707,-15170.769914525707,-15170.769914525707,-0.0,15170.769914525707
2023-07-26,219563.98194099808,up_trend,1.0,0,,21,speculation_change_rate,0.5328378396276596,2.025216349105437,0.4271208145344338,0.5328378396276596,,0,0,none,0,1.0,0,217897.3795039775,up_trend,1.0,2.0,1.0,1.0,1666.6024370205705,1666.6024370205705,1666.6024370205705,-13504.167477505136,-13504.167477505136,-0.0,13504.167477505136
2023-07-27,217538.3747103608,up_trend,1.0,0,,21,speculation_change_rate,-0.5720061192565645,1.176569968274467,-0.8486463808309699,-0.5720061192565645,,0,0,none,0,1.0,0,224212.93941660432,up_trend,1.0,2.0,1.0,1.0,-6674.564706243516,-6674.564706243516,-6674.564706243516,-20178.732183748652,-20178.732183748652,-0.0,20178.732183748652
2023-07-28,220461.82341001357,up_trend,1.0,0,,21,speculation_change_rate,-0.0385512035771969,1.137255999052689,-0.0393139692217781,-0.0385512035771969,,0,0,none,0,1.0,0,216775.42920556173,up_trend,1.0,2.0,1.0,1.0,3686.394204451848,3686.394204451848,3686.394204451848,-16492.337979296804,-16492.337979296804,-0.0,16492.337979296804
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,21,speculation_change_rate,-0.2535735187883758,0.8447978475536825,-0.2924581514990064,-0.2535735187883758,,0,0,none,0,1.0,0,221490.2407221665,up_trend,1.0,2.0,1.0,1.0,-786.6386583160784,-786.6386583160784,-786.6386583160784,-17278.976637612883,-17278.976637612883,-0.0,17278.976637612883
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,21,speculation_change_rate,-0.393000117048236,0.3455711668003232,-0.4992266807533593,-0.393000117048236,,0,0,none,0,1.0,0,221431.6312827727,up_trend,1.0,2.0,1.0,1.0,2.0252622643020004,2.0252622643020004,2.0252622643020004,-17276.95137534858,-17276.95137534858,-0.0,17276.95137534858
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,21,speculation_change_rate,-0.234926586303249,0.0777876826569847,-0.2677834841433384,-0.234926586303249,,0,0,none,0,1.0,0,221531.3974879472,up_trend,1.0,2.0,1.0,1.0,381.8848087035294,381.8848087035294,381.8848087035294,-16895.06656664505,-16895.06656664505,-0.0,16895.06656664505
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,21,speculation_change_rate,0.2224891702231348,0.278676766271454,0.2008890836144692,0.2224891702231348,,0,0,none,0,1.0,0,219951.91062587276,up_trend,1.0,2.0,1.0,1.0,3298.003114114894,3298.003114114894,3298.003114114894,-13597.063452530158,-13597.063452530158,-0.0,13597.063452530158
