date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,42,price_up_oi_down,,-0.0904190260152219,0,,8.997765772011208,,,,,,0,1.0,1.0,1.0,position,1.0,-0.0904190260152219,-0.0904190260152219,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.0,0.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,42,price_up_oi_down,,-0.04396360588005914,0,,9.482045489904824,0.4842797178936155,62.30055658627087,,,,0,1.0,1.0,1.0,position,1.0,-0.04396360588005914,-0.04396360588005914,0.865617368104719,0.865617368104719,0.9095809739847781,0.9095809739847781,-0.04833391103978257,-0.04833391103978257
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,42,price_up_oi_down,,0.07528039201736908,1,,9.617137925318126,0.135092435413302,14.464258497180204,,,,0,1.0,1.0,1.0,position,1.0,0.07528039201736908,0.07528039201736908,0.940897760122088,0.940897760122088,0.940897760122088,0.940897760122088,0.0,0.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,42,price_up_oi_down,,0.0076485657643723445,1,,9.582455500402792,-0.0346824249153332,-3.4087882822903315,,,,0,1.0,1.0,1.0,position,1.0,0.0076485657643723445,0.0076485657643723445,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.0,0.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,42,price_up_oi_down,,-0.02976886491747775,0,0.4,9.622781093820771,0.0403255934179807,4.114971050455063,,,,0,1.0,1.0,1.0,position,1.0,-0.02976886491747775,-0.02976886491747775,0.9187774609689826,0.9187774609689826,0.9485463258864604,0.9485463258864604,-0.03138367004864773,-0.03138367004864773
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,42,price_up_oi_down,0.3106825831446952,0.01700559061495918,1,0.5,9.601030194502194,-0.0217508993185795,-2.1516054286660036,9.582455500402792,0.0403255934179807,0.3106825831446952,0,1.0,1.0,1.0,position,1.0,0.01700559061495918,0.01700559061495918,0.9357830515839418,0.9357830515839418,0.9485463258864604,0.9485463258864604,-0.01345561513887128,-0.01345561513887128
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,42,price_up_oi_down,1.3667101472102288,-0.003551572546723737,1,0.5714285714285714,9.648917831534549,0.0478876370323551,4.9052774018943035,9.591742847452494,0.0282166621169555,1.3667101472102288,0,1.0,1.0,1.0,position,1.0,-0.003551572546723737,-0.003551572546723737,0.932231479037218,0.932231479037218,0.9485463258864604,0.9485463258864604,-0.017199841909666724,-0.017199841909666724
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,42,price_up_oi_down,1.8251109449174072,9.14621932092303e-06,1,0.625,9.65988615931952,0.0109683277849725,1.1028700419219328,9.601030194502194,0.0217508993185795,1.8251109449174072,0,1.0,1.0,1.0,position,1.0,9.14621932092303e-06,9.14621932092303e-06,0.932240625256539,0.932240625256539,0.9485463258864604,0.9485463258864604,-0.017190199555812913,-0.017190199555812913
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,42,price_up_oi_down,1.0298320172990951,0.0017238405618070754,1,0.6666666666666666,9.65982236550112,-6.379381840027065e-05,-0.0063791783617928,9.60908405991016,0.0332311655658781,1.0298320172990951,0,1.0,1.0,1.0,position,1.0,0.0017238405618070754,0.0017238405618070754,0.9339644658183461,0.9339644658183461,0.9485463258864604,0.9485463258864604,-0.0153728496649721,-0.0153728496649721
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,42,price_up_oi_down,1.5067773106549212,0.014994200799303957,1,0.7,9.694616660508636,0.034794295007515,3.5406698564592887,9.617137925318126,0.0346824249153332,1.5067773106549212,0,1.0,1.0,1.0,position,1.0,0.014994200799303957,0.014994200799303957,0.94895866661765,0.94895866661765,0.94895866661765,0.94895866661765,0.0,0.0
